instrumentation_library,service_name,traceId,spanId,operation,kind,duration,span_status,http.status_code,parent.service_name,parent.operation,parent.kind
io.opentelemetry.jdbc,team-service,c292ea02c1ed00cf0504377e53ed8f97,7400ae921b0de09e,SELECT teamdb.team_member,3,731713,1,,team-service,SELECT meetingteam.teamservice.models.TeamMember,1.0
io.opentelemetry.jdbc,team-service,c292ea02c1ed00cf0504377e53ed8f97,b8431394e77f70ef,UPDATE teamdb.team,3,680552,1,,team-service,Transaction.commit,1.0
io.opentelemetry.jdbc,team-service,c292ea02c1ed00cf0504377e53ed8f97,498ac087e371840f,SELECT teamdb.channel,3,761275,1,,team-service,PATCH /team-service/team,2.0
io.opentelemetry.spring-data-1.8,team-service,c292ea02c1ed00cf0504377e53ed8f97,f016344be96dfe28,TeamRepository.findById,1,13133205,1,,team-service,PATCH /team-service/team,2.0
io.opentelemetry.spring-data-1.8,team-service,c292ea02c1ed00cf0504377e53ed8f97,f75716b07653f058,TeamMemberRepository.getRoleByUserIdAndTeamId,1,2613918,1,,team-service,PATCH /team-service/team,2.0
io.opentelemetry.spring-data-1.8,team-service,c292ea02c1ed00cf0504377e53ed8f97,4f66f7f9a2c1f802,TeamRepository.save,1,14013773,1,,team-service,PATCH /team-service/team,2.0
io.opentelemetry.rabbitmq-2.7,team-service,c292ea02c1ed00cf0504377e53ed8f97,2e4bfc7a65e5883a,meetingteam-exchange publish,4,2148685,1,,team-service,PATCH /team-service/team,2.0
io.opentelemetry.hibernate-6.0,team-service,c7e572a3432ac96243d1261f5e83fc83,4c75f1a0c6683c1a,Session.find meetingteam.teamservice.models.Team,1,1469785,1,,,,
io.opentelemetry.hibernate-6.0,team-service,c7e572a3432ac96243d1261f5e83fc83,bcc5e9fd709d0fec,Transaction.commit,1,594336,1,,,,
io.opentelemetry.hibernate-6.0,team-service,c7e572a3432ac96243d1261f5e83fc83,d42826e6d1256fea,SELECT meetingteam.teamservice.models.TeamMember,1,1304323,1,,,,
io.opentelemetry.hibernate-6.0,team-service,c7e572a3432ac96243d1261f5e83fc83,0a52566f877ea4a2,Session.merge meetingteam.teamservice.models.Team,1,107659,1,,,,
io.opentelemetry.hibernate-6.0,team-service,c7e572a3432ac96243d1261f5e83fc83,27755d8fcf9fa597,Transaction.commit,1,799571,1,,,,
io.opentelemetry.jdbc,team-service,c7e572a3432ac96243d1261f5e83fc83,bdc5d8fbf0aa84a3,SELECT teamdb.team,3,710294,1,,team-service,Session.find meetingteam.teamservice.models.Team,1.0
io.opentelemetry.jdbc,team-service,c7e572a3432ac96243d1261f5e83fc83,897bcaf396d68f35,SELECT teamdb.team_member,3,760027,1,,team-service,SELECT meetingteam.teamservice.models.TeamMember,1.0
io.opentelemetry.jdbc,team-service,c7e572a3432ac96243d1261f5e83fc83,6e75c2f728af0229,SELECT teamdb.channel,3,774865,1,,,,
io.opentelemetry.spring-data-1.8,team-service,c7e572a3432ac96243d1261f5e83fc83,e232a006ff05c2ac,TeamRepository.findById,1,4413069,1,,,,
io.opentelemetry.spring-data-1.8,team-service,c7e572a3432ac96243d1261f5e83fc83,d01104079302573b,TeamMemberRepository.getRoleByUserIdAndTeamId,1,1661009,1,,,,
